id,texto,categoria
1,yo te considero una colega de la industria,trabajo
2,académicamente soy psicóloga laboral,trabajo
3,me apasiona mucho mi carrera,trabajo
4,fui a hacer un diplomado en,trabajo
5,en mi tiempo libre me gustan mucho los deporte,personal
6,"mi carrera es parte de, de mi estilo de vida",trabajo
7,Experiencia de ingreso desde el primer contacto,trabajo
8,trabajar para una empresa,trabajo
9,Quiero emprender,trabajo
10,El desconocimiento era lo que más primaba de que las empresas no te ofrecieran lo que te iban a ofrecer,trabajo
11,Me falta experiencia laboral,trabajo
12,es supercomplejo reclutar un talento de alto valor,trabajo
13,Es muy dificil reclutar a una persona con mucho talento,trabajo
14,Tengo que entrevistar una cantidad impresionante de gente,trabajo
15,Me sorprendo mucho cuando nosotros llegamos a las empresas y vemos amonestaciones,trabajo
16,Me sorprendo mucho cuando nosotros y vemos que el empleado falta,trabajo
17,Me sorprendo mucho cuando nosotros vemos que el empleado llega tarde,trabajo
18,yo me siento cohibida porque,personal
19,me cerre porque entonces ya mi mente no está fluyendo de la forma que se siente cómoda haciéndola,personal
20,Soy muy perfeccionista,personal
21,tengo una oportunidad de mejora la comunicación,personal
22,Me es dificil comunicar lo que quiero,personal
23,Pero no me atrevo a decirlo,personal
24,No me conozco,personal
25,siento que no me conozco,personal
26,Hablar de dinero es un tabu,trabajo
27,Hablar de dinero me incomoda,trabajo
28,Hablar de dinero es un tabu en mi familia,familiar
29,Tengo una entrevista,trabajo
30,Tengo una entrevista de programador,trabajo
31,Tengo una entrevista de contador,trabajo
32,Tengo una entrevista de psicologo,trabajo
33,Tengo una entrevista en un restaurante,trabajo
34,Tengo una entrevista en algo administrativo,trabajo
35,mis hijos que están en una etapa de crecimiento,familiar
36,mi mamá que está enferma,familiar
37,un familiar esta enformo,familiar
38,yo necesitaría como que los talentos hagan esa reflexión de que no se comparen,trabajo
39,"no sabemos si ese persona tenía ya planes de irse a una empresa, a nuestra competencia",trabajo
40,Me negaron el aumento,trabajo
41,Me concedieron el aumento,trabajo
42,No me dieron el aumetno,trabajo
43,Me dieron el aumento,trabajo
44,tengo un jefe que no me deja ni dormir,trabajo
45,tengo mucha carga laboral,trabajo
46,No me llevo bien con mi familia,familiar
47,el ambiente de trabajo no me gusta,trabajo
