id,texto,categoria
1,yo,B-TRABAJO
1,te,I-TRABAJO
1,considero,I-TRABAJO
1,una,I-TRABAJO
1,colega,I-TRABAJO
1,de,I-TRABAJO
1,la,I-TRABAJO
1,industria,I-TRABAJO
2,académicamente,B-TRABAJO
2,soy,I-TRABAJO
2,psicóloga,I-TRABAJO
2,laboral,I-TRABAJO
3,me,B-TRABAJO
3,apasiona,I-TRABAJO
3,mucho,I-TRABAJO
3,mi,I-TRABAJO
3,carrera,I-TRABAJO
4,fui,B-TRABAJO
4,a,I-TRABAJO
4,hacer,I-TRABAJO
4,un,I-TRABAJO
4,diplomado,I-TRABAJO
4,en,I-TRABAJO
5,en,B-PERSONAL
5,mi,I-PERSONAL
5,tiempo,I-PERSONAL
5,libre,I-PERSONAL
5,me,I-PERSONAL
5,gustan,I-PERSONAL
5,mucho,I-PERSONAL
5,los,I-PERSONAL
5,deporte,I-PERSONAL
6,mi,B-TRABAJO
6,carrera,I-TRABAJO
6,es,I-TRABAJO
6,parte,I-TRABAJO
6,"de,",I-TRABAJO
6,de,I-TRABAJO
6,mi,I-TRABAJO
6,estilo,I-TRABAJO
6,de,I-TRABAJO
6,vida,I-TRABAJO
7,Experiencia,B-TRABAJO
7,de,I-TRABAJO
7,ingreso,I-TRABAJO
7,desde,I-TRABAJO
7,el,I-TRABAJO
7,primer,I-TRABAJO
7,contacto,I-TRABAJO
8,trabajar,B-TRABAJO
8,para,I-TRABAJO
8,una,I-TRABAJO
8,empresa,I-TRABAJO
9,Quiero,B-TRABAJO
9,emprender,I-TRABAJO
10,El,B-TRABAJO
10,desconocimiento,I-TRABAJO
10,era,I-TRABAJO
10,lo,I-TRABAJO
10,que,I-TRABAJO
10,más,I-TRABAJO
10,primaba,I-TRABAJO
10,de,I-TRABAJO
10,que,I-TRABAJO
10,las,I-TRABAJO
10,empresas,I-TRABAJO
10,no,I-TRABAJO
10,te,I-TRABAJO
10,ofrecieran,I-TRABAJO
10,lo,I-TRABAJO
10,que,I-TRABAJO
10,te,I-TRABAJO
10,iban,I-TRABAJO
10,a,I-TRABAJO
10,ofrecer,I-TRABAJO
11,Me,B-TRABAJO
11,falta,I-TRABAJO
11,experiencia,I-TRABAJO
11,laboral,I-TRABAJO
12,es,B-TRABAJO
12,supercomplejo,I-TRABAJO
12,reclutar,I-TRABAJO
12,un,I-TRABAJO
12,talento,I-TRABAJO
12,de,I-TRABAJO
12,alto,I-TRABAJO
12,valor,I-TRABAJO
13,Es,B-TRABAJO
13,muy,I-TRABAJO
13,dificil,I-TRABAJO
13,reclutar,I-TRABAJO
13,a,I-TRABAJO
13,una,I-TRABAJO
13,persona,I-TRABAJO
13,con,I-TRABAJO
13,mucho,I-TRABAJO
13,talento,I-TRABAJO
14,Tengo,B-TRABAJO
14,que,I-TRABAJO
14,entrevistar,I-TRABAJO
14,una,I-TRABAJO
14,cantidad,I-TRABAJO
14,impresionante,I-TRABAJO
14,de,I-TRABAJO
14,gente,I-TRABAJO
15,Me,B-TRABAJO
15,sorprendo,I-TRABAJO
15,mucho,I-TRABAJO
15,cuando,I-TRABAJO
15,nosotros,I-TRABAJO
15,llegamos,I-TRABAJO
15,a,I-TRABAJO
15,las,I-TRABAJO
15,empresas,I-TRABAJO
15,y,I-TRABAJO
15,vemos,I-TRABAJO
15,amonestaciones,I-TRABAJO
16,Me,B-TRABAJO
16,sorprendo,I-TRABAJO
16,mucho,I-TRABAJO
16,cuando,I-TRABAJO
16,vemos,I-TRABAJO
16,que,I-TRABAJO
16,el,I-TRABAJO
16,empleado,I-TRABAJO
16,falta,I-TRABAJO
17,Me,I-TRABAJO
17,sorprendo,I-TRABAJO
17,mucho,B-TRABAJO
17,cuando,I-TRABAJO
17,nosotros,I-TRABAJO
17,vemos,I-TRABAJO
17,que,I-TRABAJO
17,el,I-TRABAJO
17,empleado,I-TRABAJO
17,llega,I-TRABAJO
17,tarde,I-TRABAJO
18,yo,I-TRABAJO
18,me,I-TRABAJO
18,siento,B-PERSONAL
